state,msa,jobtitle,capacity,density,medianSalary
CA,"Los Angeles-Long Beach-Santa Ana, CA",All Occupations,1000.000,1.00,38290
CA,"Los Angeles-Long Beach-Santa Ana, CA",Management Occupations,58.658,1.18,108740
CA,"Los Angeles-Long Beach-Santa Ana, CA",Chief Executives,2.107,1.16,0
CA,"Los Angeles-Long Beach-Santa Ana, CA",General and Operations Managers,18.427,1.21,107720
CA,"Los Angeles-Long Beach-Santa Ana, CA",Legislators,0.105,0.26,69100
CA,"Los Angeles-Long Beach-Santa Ana, CA",Advertising and Promotions Managers,0.368,1.69,114360
CA,"Los Angeles-Long Beach-Santa Ana, CA",Marketing Managers,1.879,1.38,134420
CA,"Los Angeles-Long Beach-Santa Ana, CA",Sales Managers,4.634,1.74,110980
CA,"Los Angeles-Long Beach-Santa Ana, CA",Public Relations and Fundraising Managers,0.428,1.02,100150
CA,"Los Angeles-Long Beach-Santa Ana, CA",Administrative Services Managers,2.774,1.39,89910
CA,"Los Angeles-Long Beach-Santa Ana, CA",Computer and Information Systems Managers,2.529,1.03,138560
CA,"Los Angeles-Long Beach-Santa Ana, CA",Financial Managers,5.137,1.34,133760
CA,"Los Angeles-Long Beach-Santa Ana, CA",Industrial Production Managers,1.327,1.07,95500
CA,"Los Angeles-Long Beach-Santa Ana, CA",Purchasing Managers,0.591,1.13,100880
CA,"Los Angeles-Long Beach-Santa Ana, CA","Transportation, Storage, and Distribution Managers",0.992,1.26,82290
CA,"Los Angeles-Long Beach-Santa Ana, CA",Compensation and Benefits Managers,0.107,0.88,116770
CA,"Los Angeles-Long Beach-Santa Ana, CA",Human Resources Managers,0.995,1.15,114520
CA,"Los Angeles-Long Beach-Santa Ana, CA",Training and Development Managers,0.184,0.83,115700
CA,"Los Angeles-Long Beach-Santa Ana, CA",Construction Managers,1.466,0.87,100790
CA,"Los Angeles-Long Beach-Santa Ana, CA","Education Administrators, Preschool and Childcare Center/Program",0.413,1.18,50930
CA,"Los Angeles-Long Beach-Santa Ana, CA","Education Administrators, Elementary and Secondary School",1.126,0.66,107180
CA,"Los Angeles-Long Beach-Santa Ana, CA","Education Administrators, Postsecondary",0.848,0.87,96350
CA,"Los Angeles-Long Beach-Santa Ana, CA","Education Administrators, All Other",0.286,1.21,103440
CA,"Los Angeles-Long Beach-Santa Ana, CA",Architectural and Engineering Managers,1.884,1.42,148390
CA,"Los Angeles-Long Beach-Santa Ana, CA",Food Service Managers,2.271,1.55,46050
CA,"Los Angeles-Long Beach-Santa Ana, CA",Funeral Service Managers,0.023,0.38,59730
CA,"Los Angeles-Long Beach-Santa Ana, CA",Gaming Managers,0,0,82890
CA,"Los Angeles-Long Beach-Santa Ana, CA",Lodging Managers,0.234,1.00,50970
CA,"Los Angeles-Long Beach-Santa Ana, CA",Medical and Health Services Managers,1.914,0.83,110780
CA,"Los Angeles-Long Beach-Santa Ana, CA",Natural Sciences Managers,0.294,0.74,144990
CA,"Los Angeles-Long Beach-Santa Ana, CA",Postmasters and Mail Superintendents,0.018,0.13,89220
CA,"Los Angeles-Long Beach-Santa Ana, CA","Property, Real Estate, and Community Association Managers",2.020,1.60,63670
CA,"Los Angeles-Long Beach-Santa Ana, CA",Social and Community Service Managers,0.843,0.98,72030
CA,"Los Angeles-Long Beach-Santa Ana, CA",Emergency Management Directors,0.034,0.47,106660
CA,"Los Angeles-Long Beach-Santa Ana, CA","Managers, All Other",2.382,0.89,120220
CA,"Los Angeles-Long Beach-Santa Ana, CA",Business and Financial Operations Occupations,58.633,1.16,70760
CA,"Los Angeles-Long Beach-Santa Ana, CA","Agents and Business Managers of Artists, Performers, and Athletes",0.704,8.01,86800
CA,"Los Angeles-Long Beach-Santa Ana, CA","Buyers and Purchasing Agents, Farm Products",0.067,0.80,67760
CA,"Los Angeles-Long Beach-Santa Ana, CA","Wholesale and Retail Buyers, Except Farm Products",1.370,1.67,52370
CA,"Los Angeles-Long Beach-Santa Ana, CA","Purchasing Agents, Except Wholesale, Retail, and Farm Products",2.366,1.11,64860
